,id,geo,suburb,postcode,rent,Monash University - Caulfield,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
120,"(3207, 'Port Melbourne')","(-37.83, 144.96)",Port Melbourne,3207,300,8.957835276,851,45,59,TRUE,18.2 km,5.8 km,21,26
121,"(3151, 'Burwood Heights')","(-37.86, 145.14)",Burwood Heights,3151,338,9.05513905,1473,739,777,TRUE,970 km,733 km,530,775
122,"(3151, 'Burwood East')","(-37.86, 145.14)",Burwood East,3151,338,9.05513905,1473,51,64,TRUE,19.8 km,22.7 km,32,57
123,"(3192, 'Southland Centre')","(-37.96, 145.06)",Southland Centre,3192,340,9.066952396,820,20,18,TRUE,10.0 km,20.7 km,37,46
125,"(3192, 'Cheltenham East')","(-37.96, 145.06)",Cheltenham East,3192,340,9.066952396,820,40,35,TRUE,12.6 km,23.4 km,36,63
126,"(3192, 'Cheltenham')","(-37.96, 145.06)",Cheltenham,3192,340,9.066952396,618,40,35,TRUE,12.6 km,23.4 km,36,63
127,"(3006, 'Southbank')","(-37.82, 144.97)",Southbank,3006,330,9.071192876,3870,31,32,TRUE,11.6 km,1.5 km,11,13
128,"(3006, 'South Wharf')","(-37.82, 144.97)",South Wharf,3006,330,9.071192876,178,33,32,TRUE,14.5 km,1.9 km,17,16
129,"(3067, 'Abbotsford')","(-37.8, 145.0)",Abbotsford,3067,350,9.563985612,1398,41,34,TRUE,14.3 km,4.7 km,17,24
132,"(3128, 'Box Hill')","(-37.82, 145.12)",Box Hill,3128,240,9.687635522,704,44,42,TRUE,21.3 km,16.8 km,30,35
133,"(3128, 'Box Hill Central')","(-37.82, 145.12)",Box Hill Central,3128,350,9.687635522,283,40,38,TRUE,21.1 km,16.6 km,30,37
134,"(3128, 'Box Hill South')","(-37.82, 145.12)",Box Hill South,3128,350,9.687635522,283,56,56,TRUE,13.1 km,19.0 km,29,51
135,"(3128, 'Wattle Park')","(-37.82, 145.12)",Wattle Park,3128,350,9.687635522,343,50,50,TRUE,11.6 km,13.3 km,27,53
136,"(3000, 'Melbourne')","(-37.81, 144.97)",Melbourne,3000,300,9.917928738,14270,25,24,TRUE,12.4 km,3 m,1,1
137,"(3066, 'Collingwood North')","(-37.8, 144.98)",Collingwood North,3066,350,10.33887436,1620,41,36,TRUE,13.1 km,3.5 km,14,25
138,"(3066, 'Collingwood')","(-37.8, 144.98)",Collingwood,3066,350,10.33887436,1620,41,36,TRUE,13.1 km,3.5 km,14,25
139,"(3065, 'Fitzroy')","(-37.8, 144.98)",Fitzroy,3065,380,10.33887436,1917,38,31,TRUE,12.6 km,3.1 km,15,21
144,"(8006, 'Abeckett Street')","(-37.81, 144.96)",Abeckett Street,8006,280,10.48478038,12,22,21,TRUE,12.1 km,0.9 km,10,8
145,"(8011, 'Little Lonsdale Street')","(-37.81, 144.96)",Little Lonsdale Street,8011,360,10.48478038,412.5140736,19,18,TRUE,11.9 km,0.6 km,8,5
146,"(3068, 'Fitzroy North')","(-37.79, 144.99)",Fitzroy North,3068,330,10.92849246,1006,41,33,TRUE,14.1 km,4.7 km,17,23
147,"(3068, 'Clifton Hill')","(-37.79, 144.99)",Clifton Hill,3068,330,10.92849246,405,43,37,TRUE,15.9 km,6.3 km,20,24
